country	continent	year	lifeExp
Indonesia	Asia	1952	37.468
Oman	Asia	1952	37.578
Saudi Arabia	Asia	1952	39.875
Indonesia	Asia	1957	39.918
Oman	Asia	1957	40.08
Vietnam	Asia	1952	40.412
Indonesia	Asia	1962	42.518
Saudi Arabia	Asia	1957	42.868
Vietnam	Asia	1957	42.887
Oman	Asia	1962	43.165
Vietnam	Asia	1962	45.363
Saudi Arabia	Asia	1962	45.914
Indonesia	Asia	1967	45.964
Oman	Asia	1967	46.988
Vietnam	Asia	1967	47.838
Indonesia	Asia	1972	49.203
Saudi Arabia	Asia	1967	49.901
Vietnam	Asia	1972	50.254
Oman	Asia	1972	52.143
Indonesia	Asia	1977	52.702
Saudi Arabia	Asia	1972	53.886
Vietnam	Asia	1977	55.764
Indonesia	Asia	1982	56.159
Oman	Asia	1977	57.367
Saudi Arabia	Asia	1977	58.69
Vietnam	Asia	1982	58.816
Indonesia	Asia	1987	60.137
Indonesia	Asia	1992	62.681
Oman	Asia	1982	62.728
Vietnam	Asia	1987	62.82
Saudi Arabia	Asia	1982	63.012
Indonesia	Asia	1997	66.041
Saudi Arabia	Asia	1987	66.295
Vietnam	Asia	1992	67.662
Oman	Asia	1987	67.734
Indonesia	Asia	2002	68.588
Saudi Arabia	Asia	1992	68.768
Saudi Arabia	Asia	1997	70.533
Indonesia	Asia	2007	70.65
Vietnam	Asia	1997	70.672
Oman	Asia	1992	71.197
Saudi Arabia	Asia	2002	71.626
Oman	Asia	1997	72.499
Saudi Arabia	Asia	2007	72.777
Vietnam	Asia	2002	73.017
Oman	Asia	2002	74.193
Vietnam	Asia	2007	74.249
Oman	Asia	2007	75.64
