country	continent	year	lifeExp
Iraq	Asia	1952	45.32
Iraq	Asia	1957	48.437
Iraq	Asia	1962	51.457
Iraq	Asia	1967	54.459
Lebanon	Asia	1952	55.928
Iraq	Asia	1972	56.95
Iraq	Asia	2002	57.046
Sri Lanka	Asia	1952	57.593
Iraq	Asia	1997	58.811
Iraq	Asia	1992	59.461
Lebanon	Asia	1957	59.489
Iraq	Asia	2007	59.545
Iraq	Asia	1977	60.413
Sri Lanka	Asia	1957	61.456
Iraq	Asia	1982	62.038
Lebanon	Asia	1962	62.094
Sri Lanka	Asia	1962	62.192
Lebanon	Asia	1967	63.87
Sri Lanka	Asia	1967	64.266
Sri Lanka	Asia	1972	65.042
Iraq	Asia	1987	65.044
Israel	Asia	1952	65.39
Lebanon	Asia	1972	65.421
Sri Lanka	Asia	1977	65.949
Lebanon	Asia	1977	66.099
Lebanon	Asia	1982	66.983
Israel	Asia	1957	67.84
Lebanon	Asia	1987	67.926
Sri Lanka	Asia	1982	68.757
Sri Lanka	Asia	1987	69.011
Lebanon	Asia	1992	69.292
Israel	Asia	1962	69.39
Lebanon	Asia	1997	70.265
Sri Lanka	Asia	1992	70.379
Sri Lanka	Asia	1997	70.457
Israel	Asia	1967	70.75
Sri Lanka	Asia	2002	70.815
Lebanon	Asia	2002	71.028
Israel	Asia	1972	71.63
Lebanon	Asia	2007	71.993
Sri Lanka	Asia	2007	72.396
Israel	Asia	1977	73.06
Israel	Asia	1982	74.45
Israel	Asia	1987	75.6
Israel	Asia	1992	76.93
Israel	Asia	1997	78.269
Israel	Asia	2002	79.696
Israel	Asia	2007	80.745
