country	continent	year	lifeExp
Hungary	Europe	1952	64.03
Slovak Republic	Europe	1952	64.36
Hungary	Europe	1957	66.41
Slovak Republic	Europe	1957	67.45
Hungary	Europe	1962	67.96
Hungary	Europe	1992	69.17
Hungary	Europe	1982	69.39
Hungary	Europe	1967	69.5
Hungary	Europe	1987	69.58
Hungary	Europe	1972	69.76
Hungary	Europe	1977	69.95
Slovak Republic	Europe	1962	70.33
Slovak Republic	Europe	1972	70.35
Slovak Republic	Europe	1977	70.45
Denmark	Europe	1952	70.78
Slovak Republic	Europe	1982	70.8
Slovak Republic	Europe	1967	70.98
Hungary	Europe	1997	71.04
Slovak Republic	Europe	1987	71.08
Slovak Republic	Europe	1992	71.38
Denmark	Europe	1957	71.81
Denmark	Europe	1962	72.35
Hungary	Europe	2002	72.59
Norway	Europe	1952	72.67
Slovak Republic	Europe	1997	72.71
Denmark	Europe	1967	72.96
Hungary	Europe	2007	73.338
Norway	Europe	1957	73.44
Denmark	Europe	1972	73.47
Norway	Europe	1962	73.47
Slovak Republic	Europe	2002	73.8
Norway	Europe	1967	74.08
Norway	Europe	1972	74.34
Denmark	Europe	1982	74.63
Slovak Republic	Europe	2007	74.663
Denmark	Europe	1977	74.69
Denmark	Europe	1987	74.8
Denmark	Europe	1992	75.33
Norway	Europe	1977	75.37
Norway	Europe	1987	75.89
Norway	Europe	1982	75.97
Denmark	Europe	1997	76.11
Denmark	Europe	2002	77.18
Norway	Europe	1992	77.32
Norway	Europe	1997	78.32
Denmark	Europe	2007	78.332
Norway	Europe	2002	79.05
Norway	Europe	2007	80.196
