country	continent	year	lifeExp
Rwanda	Africa	1992	23.599
Gambia	Africa	1952	30
Angola	Africa	1952	30.015
Sierra Leone	Africa	1952	30.331
Mozambique	Africa	1952	31.286
Sierra Leone	Africa	1957	31.57
Burkina Faso	Africa	1952	31.975
Angola	Africa	1957	31.999
Gambia	Africa	1957	32.065
Guinea-Bissau	Africa	1952	32.5
Sierra Leone	Africa	1962	32.767
Somalia	Africa	1952	32.978
Guinea-Bissau	Africa	1957	33.489
Guinea	Africa	1952	33.609
Mali	Africa	1952	33.685
Mozambique	Africa	1957	33.779
Gambia	Africa	1962	33.896
Angola	Africa	1962	34
Ethiopia	Africa	1952	34.078
Sierra Leone	Africa	1967	34.113
Equatorial Guinea	Africa	1952	34.482
Guinea-Bissau	Africa	1962	34.488
Guinea	Africa	1957	34.558
Djibouti	Africa	1952	34.812
Burkina Faso	Africa	1957	34.906
Somalia	Africa	1957	34.977
Mali	Africa	1957	35.307
Sierra Leone	Africa	1972	35.4
Central African Republic	Africa	1952	35.463
Guinea-Bissau	Africa	1967	35.492
Guinea	Africa	1962	35.753
Gambia	Africa	1967	35.857
Eritrea	Africa	1952	35.928
Equatorial Guinea	Africa	1957	35.983
Angola	Africa	1967	35.985
Rwanda	Africa	1997	36.087
Mozambique	Africa	1962	36.161
Malawi	Africa	1952	36.256
Nigeria	Africa	1952	36.324
Guinea-Bissau	Africa	1972	36.486
Ethiopia	Africa	1957	36.667
Madagascar	Africa	1952	36.681
Sierra Leone	Africa	1977	36.788
Mali	Africa	1962	36.936
Somalia	Africa	1962	36.981
Gabon	Africa	1952	37.003
Guinea	Africa	1967	37.197
Malawi	Africa	1957	37.207
Senegal	Africa	1952	37.278
Djibouti	Africa	1957	37.328
Niger	Africa	1952	37.444
Central African Republic	Africa	1957	37.464
Guinea-Bissau	Africa	1977	37.465
Equatorial Guinea	Africa	1962	37.485
Nigeria	Africa	1957	37.802
Burkina Faso	Africa	1962	37.814
Angola	Africa	1972	37.928
Eritrea	Africa	1957	38.047
Chad	Africa	1952	38.092
Mozambique	Africa	1967	38.113
Benin	Africa	1952	38.223
Gambia	Africa	1972	38.308
Sierra Leone	Africa	1992	38.333
Malawi	Africa	1962	38.41
Sierra Leone	Africa	1982	38.445
Liberia	Africa	1952	38.48
Mali	Africa	1967	38.487
Cameroon	Africa	1952	38.523
Togo	Africa	1952	38.596
Niger	Africa	1957	38.598
Sudan	Africa	1952	38.635
Guinea	Africa	1972	38.842
Madagascar	Africa	1957	38.865
Somalia	Africa	1967	38.977
Equatorial Guinea	Africa	1967	38.987
Gabon	Africa	1957	38.999
Burundi	Africa	1952	39.031
Congo, Dem. Rep.	Africa	1952	39.143
Zambia	Africa	2002	39.193
Guinea-Bissau	Africa	1982	39.327
Senegal	Africa	1957	39.329
Nigeria	Africa	1962	39.36
Central African Republic	Africa	1962	39.475
Angola	Africa	1977	39.483
Liberia	Africa	1957	39.486
Malawi	Africa	1967	39.487
Niger	Africa	1962	39.487
Swaziland	Africa	2007	39.613
Sudan	Africa	1957	39.624
Somalia	Africa	1992	39.658
Djibouti	Africa	1962	39.693
Chad	Africa	1957	39.881
Sierra Leone	Africa	1997	39.897
Angola	Africa	1987	39.906
Angola	Africa	1982	39.942
Mali	Africa	1972	39.977
Uganda	Africa	1952	39.978
Zimbabwe	Africa	2002	39.989
Rwanda	Africa	1952	40
Sierra Leone	Africa	1987	40.006
Ethiopia	Africa	1962	40.059
Niger	Africa	1967	40.118
Eritrea	Africa	1962	40.158
Zambia	Africa	1997	40.238
Mozambique	Africa	1972	40.328
Benin	Africa	1957	40.358
Cameroon	Africa	1957	40.428
Cote d'Ivoire	Africa	1952	40.477
Gabon	Africa	1962	40.489
Liberia	Africa	1962	40.502
Equatorial Guinea	Africa	1972	40.516
Burundi	Africa	1957	40.533
Mauritania	Africa	1952	40.543
Niger	Africa	1972	40.546
Angola	Africa	1992	40.647
Congo, Dem. Rep.	Africa	1957	40.652
Burkina Faso	Africa	1967	40.697
