country	continent	year	lifeExp
Gambia	Africa	1952	30
Gambia	Africa	1957	32.065
Gambia	Africa	1962	33.896
Gambia	Africa	1967	35.857
Gambia	Africa	1972	38.308
Gambia	Africa	1977	41.842
Libya	Africa	1952	42.723
Algeria	Africa	1952	43.077
Tunisia	Africa	1952	44.6
Libya	Africa	1957	45.289
Gambia	Africa	1982	45.58
Algeria	Africa	1957	45.685
Tunisia	Africa	1957	47.1
Libya	Africa	1962	47.808
Algeria	Africa	1962	48.303
Gambia	Africa	1987	49.265
Tunisia	Africa	1962	49.579
Libya	Africa	1967	50.227
Algeria	Africa	1967	51.407
Tunisia	Africa	1967	52.053
Gambia	Africa	1992	52.644
Libya	Africa	1972	52.773
Algeria	Africa	1972	54.518
Tunisia	Africa	1972	55.602
Gambia	Africa	1997	55.861
Libya	Africa	1977	57.442
Algeria	Africa	1977	58.014
Gambia	Africa	2002	58.041
Gambia	Africa	2007	59.448
Tunisia	Africa	1977	59.837
Algeria	Africa	1982	61.368
Libya	Africa	1982	62.155
Tunisia	Africa	1982	64.048
Algeria	Africa	1987	65.799
Libya	Africa	1987	66.234
Tunisia	Africa	1987	66.894
Algeria	Africa	1992	67.744
Libya	Africa	1992	68.755
Algeria	Africa	1997	69.152
Tunisia	Africa	1992	70.001
Algeria	Africa	2002	70.994
Libya	Africa	1997	71.555
Tunisia	Africa	1997	71.973
Algeria	Africa	2007	72.301
Libya	Africa	2002	72.737
Tunisia	Africa	2002	73.042
Tunisia	Africa	2007	73.923
Libya	Africa	2007	73.952
