country	continent	year	lifeExp
Rwanda	Africa	1992	23.599
Rwanda	Africa	1997	36.087
Zambia	Africa	2002	39.193
Zimbabwe	Africa	2002	39.989
Rwanda	Africa	1952	40
Zambia	Africa	1997	40.238
Rwanda	Africa	1957	41.5
Zambia	Africa	1952	42.038
Zambia	Africa	2007	42.384
Rwanda	Africa	1962	43
Rwanda	Africa	2002	43.413
Zimbabwe	Africa	2007	43.487
Rwanda	Africa	1987	44.02
Zambia	Africa	1957	44.077
Rwanda	Africa	1967	44.1
Rwanda	Africa	1972	44.6
Rwanda	Africa	1977	45
Zambia	Africa	1962	46.023
Zambia	Africa	1992	46.1
Rwanda	Africa	1982	46.218
Rwanda	Africa	2007	46.242
Botswana	Africa	2002	46.634
Zimbabwe	Africa	1997	46.809
Botswana	Africa	1952	47.622
Zambia	Africa	1967	47.768
Zimbabwe	Africa	1952	48.451
Botswana	Africa	1957	49.618
Zambia	Africa	1972	50.107
Zimbabwe	Africa	1957	50.469
Botswana	Africa	2007	50.728
Zambia	Africa	1987	50.821
Zambia	Africa	1977	51.386
Botswana	Africa	1962	51.52
Zambia	Africa	1982	51.821
Zimbabwe	Africa	1962	52.358
Botswana	Africa	1997	52.556
Botswana	Africa	1967	53.298
Zimbabwe	Africa	1967	53.995
Zimbabwe	Africa	1972	55.635
Botswana	Africa	1972	56.024
Zimbabwe	Africa	1977	57.674
Botswana	Africa	1977	59.319
Zimbabwe	Africa	1982	60.363
Zimbabwe	Africa	1992	60.377
Botswana	Africa	1982	61.484
Zimbabwe	Africa	1987	62.351
Botswana	Africa	1992	62.745
Botswana	Africa	1987	63.622
