country	continent	year	lifeExp
Honduras	Americas	1952	41.912
Guatemala	Americas	1952	42.023
Nicaragua	Americas	1952	42.314
Peru	Americas	1952	43.902
Guatemala	Americas	1957	44.142
Honduras	Americas	1957	44.665
Nicaragua	Americas	1957	45.432
Peru	Americas	1957	46.263
Guatemala	Americas	1962	46.954
Honduras	Americas	1962	48.041
Nicaragua	Americas	1962	48.632
Peru	Americas	1962	49.096
Guatemala	Americas	1967	50.016
Honduras	Americas	1967	50.924
Peru	Americas	1967	51.445
Nicaragua	Americas	1967	51.884
Guatemala	Americas	1972	53.738
Honduras	Americas	1972	53.884
Nicaragua	Americas	1972	55.151
Peru	Americas	1972	55.448
Guatemala	Americas	1977	56.029
Honduras	Americas	1977	57.402
Nicaragua	Americas	1977	57.47
Guatemala	Americas	1982	58.137
Peru	Americas	1977	58.447
Nicaragua	Americas	1982	59.298
Guatemala	Americas	1987	60.782
Honduras	Americas	1982	60.909
Peru	Americas	1982	61.406
Nicaragua	Americas	1987	62.008
Guatemala	Americas	1992	63.373
Peru	Americas	1987	64.134
Honduras	Americas	1987	64.492
Nicaragua	Americas	1992	65.843
Guatemala	Americas	1997	66.322
Honduras	Americas	1992	66.399
Peru	Americas	1992	66.458
Honduras	Americas	1997	67.659
Peru	Americas	1997	68.386
Nicaragua	Americas	1997	68.426
Honduras	Americas	2002	68.565
Guatemala	Americas	2002	68.978
Peru	Americas	2002	69.906
Honduras	Americas	2007	70.198
Guatemala	Americas	2007	70.259
Nicaragua	Americas	2002	70.836
Peru	Americas	2007	71.421
Nicaragua	Americas	2007	72.899
