country	continent	year	lifeExp
Trinidad and Tobago	Americas	1952	59.1
Trinidad and Tobago	Americas	1957	61.8
Paraguay	Americas	1952	62.649
Paraguay	Americas	1957	63.196
Paraguay	Americas	1962	64.361
Trinidad and Tobago	Americas	1962	64.9
Paraguay	Americas	1967	64.951
Trinidad and Tobago	Americas	1967	65.4
Paraguay	Americas	1972	65.815
Trinidad and Tobago	Americas	1972	65.9
Uruguay	Americas	1952	66.071
Paraguay	Americas	1977	66.353
Paraguay	Americas	1982	66.874
Uruguay	Americas	1957	67.044
Paraguay	Americas	1987	67.378
Paraguay	Americas	1992	68.225
Uruguay	Americas	1962	68.253
Trinidad and Tobago	Americas	1977	68.3
United States	Americas	1952	68.44
Uruguay	Americas	1967	68.468
Uruguay	Americas	1972	68.673
Trinidad and Tobago	Americas	1982	68.832
Trinidad and Tobago	Americas	2002	68.976
Paraguay	Americas	1997	69.4
Trinidad and Tobago	Americas	1997	69.465
Uruguay	Americas	1977	69.481
United States	Americas	1957	69.49
Trinidad and Tobago	Americas	1987	69.582
Trinidad and Tobago	Americas	2007	69.819
Trinidad and Tobago	Americas	1992	69.862
United States	Americas	1962	70.21
Paraguay	Americas	2002	70.755
United States	Americas	1967	70.76
Uruguay	Americas	1982	70.805
United States	Americas	1972	71.34
Paraguay	Americas	2007	71.752
Uruguay	Americas	1987	71.918
Uruguay	Americas	1992	72.752
United States	Americas	1977	73.38
Uruguay	Americas	1997	74.223
United States	Americas	1982	74.65
United States	Americas	1987	75.02
Uruguay	Americas	2002	75.307
United States	Americas	1992	76.09
Uruguay	Americas	2007	76.384
United States	Americas	1997	76.81
United States	Americas	2002	77.31
United States	Americas	2007	78.242
