country	continent	year	lifeExp
Turkey	Europe	1952	43.585
Turkey	Europe	1957	48.079
Turkey	Europe	1962	52.098
Bosnia and Herzegovina	Europe	1952	53.82
Turkey	Europe	1967	54.336
Albania	Europe	1952	55.23
Turkey	Europe	1972	57.005
Bosnia and Herzegovina	Europe	1957	58.45
Albania	Europe	1957	59.28
Turkey	Europe	1977	59.507
Portugal	Europe	1952	59.82
Turkey	Europe	1982	61.036
Portugal	Europe	1957	61.51
Bosnia and Herzegovina	Europe	1962	61.93
Turkey	Europe	1987	63.108
Portugal	Europe	1962	64.39
Bosnia and Herzegovina	Europe	1967	64.79
Albania	Europe	1962	64.82
Turkey	Europe	1992	66.146
Albania	Europe	1967	66.22
Portugal	Europe	1967	66.6
Bosnia and Herzegovina	Europe	1972	67.45
Albania	Europe	1972	67.69
Turkey	Europe	1997	68.835
Albania	Europe	1977	68.93
Portugal	Europe	1972	69.26
Bosnia and Herzegovina	Europe	1977	69.86
Portugal	Europe	1977	70.41
Albania	Europe	1982	70.42
Bosnia and Herzegovina	Europe	1982	70.69
Turkey	Europe	2002	70.845
Bosnia and Herzegovina	Europe	1987	71.14
Albania	Europe	1992	71.581
Turkey	Europe	2007	71.777
Albania	Europe	1987	72
Bosnia and Herzegovina	Europe	1992	72.178
Portugal	Europe	1982	72.77
Albania	Europe	1997	72.95
Bosnia and Herzegovina	Europe	1997	73.244
Portugal	Europe	1987	74.06
Bosnia and Herzegovina	Europe	2002	74.09
Bosnia and Herzegovina	Europe	2007	74.852
Portugal	Europe	1992	74.86
Albania	Europe	2002	75.651
Portugal	Europe	1997	75.97
Albania	Europe	2007	76.423
Portugal	Europe	2002	77.29
Portugal	Europe	2007	78.098
